Origin (Code),Field,Year,Value
AF,0,2017,1
AF,1,2013,1
AF,1,2014,1
AF,2,2008,1
AF,5,2015,1
AF,6,2000,1
AF,6,2001,1
AF,6,2002,1
AF,6,2004,2
AF,6,2005,1
AF,6,2006,1
AF,6,2007,2
AF,6,2008,1
AF,6,2010,1
AF,6,2011,2
AF,6,2012,2
AF,6,2013,1
AF,6,2014,5
AF,6,2015,6
AF,6,2016,5
AF,6,2017,5
AF,6,2018,8
AF,7,2015,2
AF,7,2016,2
AF,7,2017,1
AF,9,2002,1
AF,9,2018,1
AF,10,1990,1
AF,10,1994,1
AF,10,1996,1
AF,10,1998,2
AF,10,1999,1
AF,10,2000,1
AF,10,2002,2
AF,10,2003,2
AF,10,2004,2
AF,10,2008,1
AF,10,2013,1
AF,10,2015,1
AF,10,2016,1
AF,10,2017,1
AF,11,1993,1
AF,11,1998,1
AF,11,1999,2
AF,11,2001,1
AF,11,2002,1
AF,11,2003,2
AF,11,2004,2
AF,11,2005,2
AF,11,2006,1
AF,11,2007,3
AF,11,2008,13
AF,11,2009,2
AF,11,2010,2
AF,11,2011,2
AF,11,2012,1
AF,11,2013,3
AF,11,2014,4
AF,11,2015,3
AF,11,2016,2
AF,11,2017,5
AF,11,2018,3
AF,12,1984,1
AF,12,2017,1
AF,13,1982,1
AF,13,1983,1
AF,13,1984,2
AF,13,1987,2
AF,13,1989,5
AF,13,1990,7
AF,13,1991,2
AF,13,1992,2
AF,13,1994,3
AF,13,1995,1
AF,13,1996,2
AF,13,1997,1
AF,13,1998,6
AF,13,1999,7
AF,13,2000,3
AF,13,2001,3
AF,13,2002,9
AF,13,2003,14
AF,13,2004,20
AF,13,2005,9
AF,13,2006,20
AF,13,2007,15
AF,13,2008,29
AF,13,2009,27
AF,13,2010,17
AF,13,2011,8
AF,13,2012,10
AF,13,2013,25
AF,13,2014,25
AF,13,2015,42
AF,13,2016,43
AF,13,2017,49
AF,13,2018,50
AF,14,1996,1
AF,14,1997,1
AF,14,2004,1
AF,14,2015,1
AF,14,2016,2
AF,14,2017,1
AF,14,2018,3
AF,15,1988,1
AF,15,1994,1
AF,15,1996,1
AF,15,1997,1
AF,15,1998,1
AF,15,1999,5
AF,15,2000,2
AF,15,2001,3
AF,15,2002,2
AF,15,2003,2
AF,15,2004,2
AF,15,2005,1
AF,15,2007,3
