CountryCode,Chemicals (% of value added in manufacturing),"Computer, communications and other services (% of commercial service exports)","Food, beverages and tobacco (% of value added in manufacturing)",Insurance and financial services (% of commercial service exports),Machinery and transport equipment (% of value added in manufacturing),Other manufacturing (% of value added in manufacturing),Textiles and clothing (% of value added in manufacturing),Transport services (% of commercial service exports),Travel services (% of commercial service exports)
ABW,,14.17724954,,0.674504707,,,,5.603976902,79.54426885
AFG,,63.23061162,,12.84222693,,,,15.43236355,8.4947979
AGO,,3.992516263,,0,,,,1.498059158,94.50942458
ALB,5.475545313,22.26983556,14.14695208,0.634986714,1.152720956,47.14429011,32.08049154,7.852674558,69.24250317
ARB,,20.21838151,,8.018879498,,,,28.55479202,46.43363749
ARE,22.52763954,,7.759915931,,12.2326151,53.8070052,3.672824227,,
ARG,11.59901909,43.11346183,29.53982468,0.663085599,11.71950442,38.96263586,8.179015949,18.61840295,37.60504962
ARM,2.068464181,26.16238312,64.33816633,1.840966113,1.939427275,29.97283421,1.68110801,11.40140178,60.59524899
ATG,,5.748356854,,3.722367935,,,,14.15873535,76.37053986
AUS,8.985884638,22.59511875,27.13435427,6.347335611,15.95469858,45.32415731,2.600905202,10.69322448,60.36432116
AUT,8.28993842,39.02705177,10.3627276,6.225170864,29.66788627,49.62858422,2.050863488,23.98603634,30.76174102
AZE,3.199976168,16.35827449,25.48191255,0.594912788,9.168639967,60.79655397,1.352917344,26.08705226,56.95976046
BDI,2.789203809,66.47541712,87.62715093,11.34798173,,8.975091699,0.608553558,8.640242492,13.53635865
BEL,27.57521642,59.14663046,15.85164778,8.649251483,19.00074285,34.8431772,2.729215744,20.93644115,11.26767691
BEN,,30.82107349,,3.919642682,,,,32.13828211,33.12100172
BFA,,34.41104385,,18.88205707,,,,15.10754192,31.59935717
BGD,,62.3237938,,4.421320092,,,,23.9055281,9.34935801
BGR,5.733525734,28.183545,18.28763829,4.758282445,18.82635883,44.22318422,12.92929293,23.51541388,43.54275867
BHR,15.18814292,25.26374581,12.48763376,52.42025568,5.351820172,62.01085988,4.961543264,8.222663522,14.09333499
BHS,,8.986268986,,0,,,,4.564816408,86.44891461
BIH,6.799627949,37.01665585,18.63210608,0.287969612,8.44096674,52.81272121,13.31457802,20.13351902,42.56185551
BLR,21.00014668,40.28700639,23.24538711,0.766782042,16.98743258,32.51019192,6.256841712,47.98640762,10.95980395
BLZ,,12.42273101,,0.661065215,,,,5.298243948,81.61795983
BMU,4.879795183,43.53271238,10.23251428,22.2498333,13.31807234,69.9113747,1.658243503,2.58515656,31.63229776
BOL,8.419686271,18.53281434,49.39120063,0.207871607,0.876570516,37.76239106,3.550151514,25.20841763,56.05089642
BRA,11.26609228,62.78453438,19.87639668,4.723795282,19.88737933,42.35058929,6.619542414,14.96744312,17.52422722
BRB,,29.12976146,,0.73643009,,,,4.126252819,66.00755563
BRN,,8.215352057,,,,,,77.62942363,14.15522431
BTN,,0.382446972,,2.049378158,,,,29.22163153,68.34654334
BWA,,34.07255076,24.74076261,0.401197619,,72.80067517,2.458562223,5.397772214,60.12847941
