Country Name,Country Code,Year,GDP,Agriculture,Industry,Manufacturing,Services
Afghanistan,AFG,2014,"20,484,885,119.74",22.14,21.23,11.48,52.99
Albania,ALB,2014,"13,228,144,008.34",19.99,21.51,5.33,45.78
Algeria,DZA,2014,"213,808,808,746.70",10.29,42.31,31.31,42.87
American Samoa,ASM,2014,"642,000,000.00",,,,
Andorra,AND,2014,"3,271,808,157.30",,,,
Angola,AGO,2014,"145,712,200,312.51",7.55,46.2,4.76,46.81
Antigua and Barbuda,ATG,2014,"1,249,733,333.33",1.66,16.19,2.75,70.39
Argentina,ARG,2014,"526,319,673,731.64",6.71,24.28,14.77,52.94
Armenia,ARM,2014,"11,609,512,939.75",18.07,25.27,9.67,47.41
Aruba,ABW,2014,"2,765,363,128.49",,,,
Australia,AUS,2014,"1,467,483,705,131.70",2.22,25.51,6.36,65.76
Austria,AUT,2014,"441,996,131,736.51",1.2,25.36,16.56,62.65
Azerbaijan,AZE,2014,"75,244,294,275.15",5.32,53.59,4.71,34.19
"Bahamas, The",BHS,2014,"10,913,300,000.00",0.86,13.68,2.72,78.5
Bahrain,BHR,2014,"33,387,712,765.96",0.3,46.52,14.93,52.47
Bangladesh,BGD,2014,"172,885,454,931.45",15.35,26.31,16.61,53.64
Barbados,BRB,2014,"4,696,500,000.00",,,,
Belarus,BLR,2014,"78,813,839,984.35",7.3,35.38,21.09,45.65
Belgium,BEL,2014,"534,678,075,827.36",0.64,19.67,12.56,69.16
Belize,BLZ,2014,"1,662,800,000.00",13.76,16.25,8.84,59.32
Benin,BEN,2014,"13,284,528,654.06",25.62,16.41,10.39,49.53
Bermuda,BMU,2014,,,,,
Bhutan,BTN,2014,"1,907,090,813.46",14.51,41.65,8.34,38.23
Bolivia,BOL,2014,"32,996,188,133.14",9.74,27.63,9.74,41.47
Bosnia and Herzegovina,BIH,2014,"18,558,343,508.34",5.95,22.06,10.94,56.88
Botswana,BWA,2014,"16,250,750,259.02",2.09,33.08,5.31,55.76
Brazil,BRA,2014,"2,455,993,625,159.40",4.33,20.47,10.34,61.25
British Virgin Islands,VGB,2014,,,,,
Brunei Darussalam,BRN,2014,"17,098,342,541.44",0.86,67.85,16.13,32.84
Bulgaria,BGR,2014,"56,883,172,568.17",4.52,23.44,,58.89
Burkina Faso,BFA,2014,"13,943,016,923.90",23.69,24.93,11,42.5
Burundi,BDI,2014,"2,705,783,272.07",34.96,15.5,10.12,39.13
Cabo Verde,CPV,2014,"1,859,898,513.27",8.02,18.73,6.39,61.23
Cambodia,KHM,2014,"16,702,610,842.40",28.87,25.61,15.4,39.7
Cameroon,CMR,2014,"34,989,493,826.22",14.23,27.14,14.42,51.84
Canada,CAN,2014,"1,803,533,209,844.60",1.59,27.14,9.43,64.9
Cayman Islands,CYM,2014,"4,563,017,880.72",0.36,6.9,0.83,87.32
Central African Republic,CAF,2014,"1,894,813,504.53",33.99,19.48,17.44,41.79
Chad,TCD,2014,"13,940,768,065.61",50.65,14.51,2.69,31.09
Channel Islands,CHI,2014,,,,,
Chile,CHL,2014,"260,541,629,960.66",3.73,31.04,11.32,56.7
China,CHN,2014,"10,475,682,846,632.00",8.64,43.09,30.4,48.27
