country-code,year,economic-fitness
AFG,1995,0.06895
AFG,1996,0.06449
AFG,1997,0.21925
AFG,1998,0.08801
AFG,1999,0.14127
AFG,2000,0.23200
AFG,2001,0.27210
AFG,2002,0.19268
AFG,2003,0.23499
AFG,2004,0.19361
AFG,2005,0.31171
AFG,2006,0.19375
AFG,2007,0.14549
AFG,2008,0.20758
AFG,2009,0.62194
AFG,2010,0.31129
AFG,2011,0.10048
AFG,2012,0.07757
AFG,2013,0.10157
AFG,2014,0.05350
AFG,2015,0.05370
AGO,1995,0.00000
AGO,1996,0.00000
AGO,1997,0.00000
AGO,1998,0.00000
AGO,1999,0.00000
AGO,2000,0.00000
AGO,2001,0.00000
AGO,2002,0.00000
AGO,2003,0.00000
AGO,2004,0.00000
AGO,2005,0.00000
AGO,2006,0.00000
AGO,2007,0.00000
AGO,2008,0.00000
AGO,2009,0.00000
AGO,2010,0.00000
AGO,2011,0.00000
AGO,2012,0.00000
AGO,2013,0.00000
AGO,2014,0.00000
AGO,2015,0.00000
ALB,1995,0.19011
ALB,1996,0.44012
ALB,1997,0.37589
ALB,1998,0.43081
ALB,1999,0.44994
ALB,2000,0.54939
ALB,2001,0.46480
ALB,2002,0.47344
ALB,2003,0.58089
ALB,2004,0.49457
ALB,2005,0.49526
ALB,2006,0.46101
ALB,2007,0.48162
ALB,2008,0.86836
ALB,2009,0.89086
ALB,2010,0.42641
ALB,2011,0.41327
ALB,2012,0.42853
ALB,2013,0.42380
ALB,2014,0.34232
ALB,2015,0.37462
AND,1995,0.65982
AND,1996,0.65610
AND,1997,0.85326
AND,1998,0.85578
AND,1999,0.76340
AND,2000,0.85494
AND,2001,0.94285
AND,2002,0.80844
AND,2003,0.69105
AND,2004,0.72832
AND,2005,0.68253
AND,2006,0.78821
AND,2007,0.90710
AND,2008,0.75068
AND,2009,0.64020
AND,2010,0.46577
AND,2011,0.23063
AND,2012,0.61898
AND,2013,0.30037
AND,2014,0.18079
AND,2015,0.36942
ARE,1995,0.10596
ARE,1996,0.12949
ARE,1997,0.16518
ARE,1998,0.34634
ARE,1999,0.34197
ARE,2000,0.29689
ARE,2001,0.30817
ARE,2002,0.36551
ARE,2003,0.36146
ARE,2004,0.48235
ARE,2005,0.67758
ARE,2006,0.21291
ARE,2007,0.67632
ARE,2008,0.45388
ARE,2009,0.18639
ARE,2010,0.56959
ARE,2011,0.39783
