CountryCode,ManufacturingType,ManufacturingVA
ALB,Chemicals,5.475545313
ALB,"Food, Beverages & Tobacco",14.14695208
ALB,Machinery,1.152720956
ALB,Other,47.14429011
ALB,Textiles & Clothing,32.08049154
DZA,Chemicals,1.183982776
DZA,"Food, Beverages & Tobacco",7.108026625
DZA,Machinery,0.312946989
DZA,Other,90.80108418
DZA,Textiles & Clothing,0.593959425
ARG,Chemicals,11.59901909
ARG,"Food, Beverages & Tobacco",29.53982468
ARG,Machinery,11.71950442
ARG,Other,38.96263586
ARG,Textiles & Clothing,8.179015949
ARM,Chemicals,2.068464181
ARM,"Food, Beverages & Tobacco",64.33816633
ARM,Machinery,1.939427275
ARM,Other,29.97283421
ARM,Textiles & Clothing,1.68110801
AUS,Chemicals,8.985884638
AUS,"Food, Beverages & Tobacco",27.13435427
AUS,Machinery,15.95469858
AUS,Other,45.32415731
AUS,Textiles & Clothing,2.600905202
AUT,Chemicals,8.28993842
AUT,"Food, Beverages & Tobacco",10.3627276
AUT,Machinery,29.66788627
AUT,Other,49.62858422
AUT,Textiles & Clothing,2.050863488
AZE,Chemicals,3.199976168
AZE,"Food, Beverages & Tobacco",25.48191255
AZE,Machinery,9.168639967
AZE,Other,60.79655397
AZE,Textiles & Clothing,1.352917344
BHR,Chemicals,15.18814292
BHR,"Food, Beverages & Tobacco",12.48763376
BHR,Machinery,5.351820172
BHR,Other,62.01085988
BHR,Textiles & Clothing,4.961543264
BLR,Chemicals,21.00014668
BLR,"Food, Beverages & Tobacco",23.24538711
BLR,Machinery,16.98743258
BLR,Other,32.51019192
BLR,Textiles & Clothing,6.256841712
BEL,Chemicals,27.57521642
BEL,"Food, Beverages & Tobacco",15.85164778
BEL,Machinery,19.00074285
BEL,Other,34.8431772
BEL,Textiles & Clothing,2.729215744
BMU,Chemicals,4.879795183
BMU,"Food, Beverages & Tobacco",10.23251428
BMU,Machinery,13.31807234
BMU,Other,69.9113747
BMU,Textiles & Clothing,1.658243503
BOL,Chemicals,8.419686271
BOL,"Food, Beverages & Tobacco",49.39120063
BOL,Machinery,0.876570516
BOL,Other,37.76239106
BOL,Textiles & Clothing,3.550151514
BIH,Chemicals,6.799627949
BIH,"Food, Beverages & Tobacco",18.63210608
BIH,Machinery,8.44096674
BIH,Other,52.81272121
BIH,Textiles & Clothing,13.31457802
BWA,"Food, Beverages & Tobacco",24.74076261
BWA,Other,72.80067517
BWA,Textiles & Clothing,2.458562223
BRA,Chemicals,11.26609228
BRA,"Food, Beverages & Tobacco",19.87639668
BRA,Machinery,19.88737933
BRA,Other,42.35058929
BRA,Textiles & Clothing,6.619542414
BGR,Chemicals,5.733525734
BGR,"Food, Beverages & Tobacco",18.28763829
BGR,Machinery,18.82635883
BGR,Other,44.22318422
BGR,Textiles & Clothing,12.92929293
BDI,Chemicals,2.789203809
BDI,"Food, Beverages & Tobacco",87.62715093
BDI,Other,8.975091699
BDI,Textiles & Clothing,0.608553558
CAN,Chemicals,9.692689855
CAN,"Food, Beverages & Tobacco",16.69669794
CAN,Machinery,26.04411316
CAN,Other,46.29563421
CAN,Textiles & Clothing,1.270864833
CHL,Chemicals,3.388351243
CHL,"Food, Beverages & Tobacco",39.14131681
CHL,Machinery,12.08745399
CHL,Other,43.18220277
CHL,Textiles & Clothing,2.20067518
CHN,Chemicals,10.81138283
CHN,"Food, Beverages & Tobacco",11.82508276
CHN,Machinery,24.52693529
CHN,Other,42.84468278
