Country,CountryCode,Female researchers as a percentage of total researchers (FTE) - Agricultural and veterinary sciences,Female researchers as a percentage of total researchers (FTE) - Business enterprise,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,Female researchers as a percentage of total researchers (FTE) - Government,Female researchers as a percentage of total researchers (FTE) - Higher education,Female researchers as a percentage of total researchers (FTE) - Humanities and the arts,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,Female researchers as a percentage of total researchers (FTE) - Natural sciences,Female researchers as a percentage of total researchers (FTE) - Natural sciences and engineering (sub-total),Female researchers as a percentage of total researchers (FTE) - Not specified fields,Female researchers as a percentage of total researchers (FTE) - Private non-profit,Female researchers as a percentage of total researchers (FTE) - Social sciences,Female researchers as a percentage of total researchers (FTE) - Social sciences and humanities (sub-total),Female researchers as a percentage of total researchers (HC) - 25-34 years,Female researchers as a percentage of total researchers (HC) - 35-44 years,Female researchers as a percentage of total researchers (HC) - 45-54 years,Female researchers as a percentage of total researchers (HC) - 55-64 years,Female researchers as a percentage of total researchers (HC) - 65 years and more,Female researchers as a percentage of total researchers (HC) - Under 25 years,GERD - Agricultural and veterinary sciences %,GERD - Agricultural and veterinary sciences (in 000 current PPP$),GERD - Applied research %,GERD - Applied research (in 000 current PPP$),GERD - Basic research %,GERD - Basic research (in 000 current PPP$),GERD - Engineering and technology %,GERD - Engineering and technology (in 000 current PPP$),GERD - Experimental development %,GERD - Experimental development (in 000 current PPP$),GERD - financed by Business enterprise %,GERD - financed by Government %,GERD - financed by Higher education %,GERD - financed by Not specified source %,GERD - financed by Private non-profit %,GERD - financed by Rest of the world (abroad) %,GERD - Humanities and the arts %,GERD - Humanities and the arts (in 000 current PPP$),GERD - Medical and health sciences %,GERD - Medical and health sciences (in 000 current PPP$),GERD - Natural sciences %,GERD - Natural sciences (in 000 current PPP$),GERD - Natural sciences and engineering (sub-total) %,GERD - Natural sciences and engineering (sub-total) (in 000 current PPP$),GERD - Not specified activities %,GERD - Not specified activities (in 000 current PPP$),GERD - Not specified fields %,GERD - Not specified fields (in 000 current PPP$),GERD - performed by business enterprise %,GERD - performed by business enterprise as a percentage of GDP,GERD - performed by government %,GERD - performed by government as a percentage of GDP,GERD - performed by higher education %,GERD - performed by higher education as a percentage of GDP,GERD - performed by Not specified sectors %,GERD - performed by private non-profit %,GERD - performed by private non-profit as a percentage of GDP,GERD - Social sciences %,GERD - Social sciences (in 000 current PPP$),GERD - Social sciences and humanities (sub-total) %,GERD - Social sciences and humanities (sub-total) (in 000 current PPP$),GERD per capita (in current PPP$),"GERD per researcher, FTE (in 000 current PPP$)",Other supporting staff as a percentage of total R&D personnel (HC),Researchers (FTE) - % Female,Researchers (FTE) - Agricultural and veterinary sciences %,Researchers (FTE) - Business enterprise %,Researchers (FTE) - Engineering and technology %,Researchers (FTE) - Government %,Researchers (FTE) - Higher education %,Researchers (FTE) - Humanities and the arts %,Researchers (FTE) - Medical and health sciences %,Researchers (FTE) - Natural sciences %,Researchers (FTE) - Natural sciences and engineering (sub-total) %,Researchers (FTE) - Not specified fields %,Researchers (FTE) - Not specified sectors %,Researchers (FTE) - Private non-profit %,Researchers (FTE) - Social sciences %,Researchers (FTE) - Social sciences and humanities (sub-total) %,Researchers (HC) - 25-34 years %,Researchers (HC) - 35-44 years %,Researchers (HC) - 45-54 years %,Researchers (HC) - 55-64 years %,Researchers (HC) - 65 years and more %,Researchers (HC) - Category A %,Researchers (HC) - Category B %,Researchers (HC) - Category C %,Researchers (HC) - Category D %,Researchers (HC) - Not specified age groups %,Researchers (HC) - Under 25 years %,Researchers as a percentage of total R&D personnel (HC),Researchers per million inhabitants (FTE),Technicians (FTE) - % Female,Technicians as a percentage of total R&D personnel (HC),Technicians per million inhabitants (FTE),Total R&D personnel (FTE) - % Female,Total R&D personnel per million inhabitants (FTE),Count
Africa (Northern),40603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.05761,91.31348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.41578,,,,,,1
Africa (Sub-Saharan),40606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4831,146.29519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.99913,,,,,,1
Algeria,DZA,51.77215,52.81189,41.96632,38.00699,47.39016,,60.3325,68.54228,50.20587,30.30873,,50.98683,50.98683,,,,,,,,,50.02078,1714431.769,1.49845,51358.38317,50.74077,1739108.937,3.48545,119461.7301,6.74413,93.13113,0.06892,0.0312,,0.02463,,,1.59177,54557.06182,2.00073,68573.68383,54.33327,1862239.682,44.99532,1542187.371,43.89253,1504389.845,6.70347,0.03636,50.09868,0.27175,43.19785,0.23432,,,,1.7742,60809.72796,1.7742,60809.72796,82.81001,101.06883,2.43396,46.71332,2.10743,0.45618,28.21969,7.4769,92.06692,,13.77489,4.89317,48.99518,18.81639,,,32.18844,32.18844,,,,,,5.09631,6.11599,6.62842,81.1427,,,95.77186,819.3427,37.2915,1.79418,41.86166,45.89421,919.2154,1
Angola,AGO,23.62815,,19.43005,32.7955,25.16293,18.24818,45.74468,40.38585,32.42424,,,19.69824,19.4274,28.37209,33.76963,27.16049,23.88889,26.38889,100,21.18639,13333.36425,51.63732,32497.23934,33.07113,20812.86046,2.1093,1327.46071,15.29155,9623.52585,,100,,,,,,,15.86663,9985.44723,6.848,4309.69423,46.01033,28955.96643,,,,,,,50.91548,0.01644,49.08452,0.01585,,,,53.98967,33977.65921,53.98967,33977.65921,2.18198,115.96393,14.72364,28.911,28.54247,,7.11259,49.10632,50.89368,5.04883,8.6604,28.65303,72.96849,,,,21.98268,27.03151,15.35714,27.28571,28.92857,12.85714,15.42857,,,,,,0.14286,65.02555,18.81599,55.33333,20.25081,5.20066,33.571,28.69031,1
Arab States,40525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.363,187.03112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.38489,,,,,,1
Argentina,ARG,,31.87873,,54.1798,56.6168,,,,,,52.99401,,,56.47192,54.43411,54.61005,50.33433,41.94652,55.62476,8.56525,425806.185,50.754,2523144.699,26.30295,1307604.308,25.89444,1287295.914,22.94306,1140573.195,16.51611,72.63958,1.75414,,0.56539,8.52479,6.05479,301002.8717,6.45646,320971.4709,18.38776,914114.9303,59.30391,2948188.5,,,24.96925,1241301.901,24.96925,0.13521,48.15764,0.26078,25.95004,0.14052,,0.92307,0.005,9.67205,480828.9293,15.72684,781831.8011,113.14624,94.90335,10.46044,53.28357,,8.31186,,51.49571,39.55482,,,,,,,0.63761,,,29.79204,28.953,20.6383,13.6627,3.86585,,,,,,3.08811,76.00037,1192.22598,40.25641,13.53919,337.30006,49.8665,1790.12562,1
Armenia,ARM,,,,,,,,,,,,,,46.875,57.04584,55.9719,53.13589,45.5312,,2.31299,1333.25613,,,,,26.54698,15302.248,,,16.68838,68.65975,,9.09523,,5.55663,12.2658,7070.26689,3.55709,2050.38247,49.03237,28263.30433,81.44943,46949.19093,,,,,,,86.72255,0.16402,13.27745,0.02511,,,,6.28478,3622.68071,18.55057,10692.9476,19.52816,,10.1752,,,,,,,,,,,,,,,,17.9669,17.40544,12.6182,16.96217,35.04728,,,,,,,76.01078,,,3.77358,,,,1
Asia (Central and Southern),40618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.49539,137.47387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.29382,,,,,,1
Asia (Central),40612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.17132,34.02662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.25487,,,,,,1
Asia (Eastern and South-eastern),40619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.70188,251.91078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1467.59054,,,,,,1
