CountryCode,ServicesType,PercentOfExportedServices
AFG,Transport services (% of commercial service exports),15.43236355
AFG,Travel services (% of commercial service exports),8.4947979
AFG,Insurance and financial services (% of commercial service exports),12.84222693
AFG,"Computer, communications and other services (% of commercial service exports)",63.23061162
ALB,Transport services (% of commercial service exports),7.852674558
ALB,Travel services (% of commercial service exports),69.24250317
ALB,Insurance and financial services (% of commercial service exports),0.634986714
ALB,"Computer, communications and other services (% of commercial service exports)",22.26983556
ALB,Chemicals (% of value added in manufacturing),5.475545313
ALB,"Food, beverages and tobacco (% of value added in manufacturing)",14.14695208
ALB,Machinery and transport equipment (% of value added in manufacturing),1.152720956
ALB,Other manufacturing (% of value added in manufacturing),47.14429011
ALB,Textiles and clothing (% of value added in manufacturing),32.08049154
DZA,Transport services (% of commercial service exports),24.15797554
DZA,Travel services (% of commercial service exports),7.414711674
DZA,Insurance and financial services (% of commercial service exports),9.329013811
DZA,"Computer, communications and other services (% of commercial service exports)",59.09829897
DZA,Chemicals (% of value added in manufacturing),1.183982776
DZA,"Food, beverages and tobacco (% of value added in manufacturing)",7.108026625
DZA,Machinery and transport equipment (% of value added in manufacturing),0.312946989
DZA,Other manufacturing (% of value added in manufacturing),90.80108418
DZA,Textiles and clothing (% of value added in manufacturing),0.593959425
AGO,Transport services (% of commercial service exports),1.498059158
AGO,Travel services (% of commercial service exports),94.50942458
AGO,Insurance and financial services (% of commercial service exports),0
AGO,"Computer, communications and other services (% of commercial service exports)",3.992516263
ATG,Transport services (% of commercial service exports),14.15873535
ATG,Travel services (% of commercial service exports),76.37053986
ATG,Insurance and financial services (% of commercial service exports),3.722367935
ATG,"Computer, communications and other services (% of commercial service exports)",5.748356854
ARG,Transport services (% of commercial service exports),18.61840295
ARG,Travel services (% of commercial service exports),37.60504962
ARG,Insurance and financial services (% of commercial service exports),0.663085599
ARG,"Computer, communications and other services (% of commercial service exports)",43.11346183
ARG,Chemicals (% of value added in manufacturing),11.59901909
ARG,"Food, beverages and tobacco (% of value added in manufacturing)",29.53982468
ARG,Machinery and transport equipment (% of value added in manufacturing),11.71950442
ARG,Other manufacturing (% of value added in manufacturing),38.96263586
ARG,Textiles and clothing (% of value added in manufacturing),8.179015949
ARM,Transport services (% of commercial service exports),11.40140178
ARM,Travel services (% of commercial service exports),60.59524899
ARM,Insurance and financial services (% of commercial service exports),1.840966113
ARM,"Computer, communications and other services (% of commercial service exports)",26.16238312
ARM,Chemicals (% of value added in manufacturing),2.068464181
ARM,"Food, beverages and tobacco (% of value added in manufacturing)",64.33816633
ARM,Machinery and transport equipment (% of value added in manufacturing),1.939427275
ARM,Other manufacturing (% of value added in manufacturing),29.97283421
ARM,Textiles and clothing (% of value added in manufacturing),1.68110801
ABW,Transport services (% of commercial service exports),5.603976902
ABW,Travel services (% of commercial service exports),79.54426885
ABW,Insurance and financial services (% of commercial service exports),0.674504707
ABW,"Computer, communications and other services (% of commercial service exports)",14.17724954
AUS,Transport services (% of commercial service exports),10.69322448
AUS,Travel services (% of commercial service exports),60.36432116
AUS,Insurance and financial services (% of commercial service exports),6.347335611
AUS,"Computer, communications and other services (% of commercial service exports)",22.59511875
AUS,Chemicals (% of value added in manufacturing),8.985884638
AUS,"Food, beverages and tobacco (% of value added in manufacturing)",27.13435427
AUS,Machinery and transport equipment (% of value added in manufacturing),15.95469858
AUS,Other manufacturing (% of value added in manufacturing),45.32415731
AUS,Textiles and clothing (% of value added in manufacturing),2.600905202
AUT,Transport services (% of commercial service exports),23.98603634
AUT,Travel services (% of commercial service exports),30.76174102
AUT,Insurance and financial services (% of commercial service exports),6.225170864
AUT,"Computer, communications and other services (% of commercial service exports)",39.02705177
AUT,Chemicals (% of value added in manufacturing),8.28993842
AUT,"Food, beverages and tobacco (% of value added in manufacturing)",10.3627276
AUT,Machinery and transport equipment (% of value added in manufacturing),29.66788627
AUT,Other manufacturing (% of value added in manufacturing),49.62858422
AUT,Textiles and clothing (% of value added in manufacturing),2.050863488
AZE,Transport services (% of commercial service exports),26.08705226
AZE,Travel services (% of commercial service exports),56.95976046
AZE,Insurance and financial services (% of commercial service exports),0.594912788
AZE,"Computer, communications and other services (% of commercial service exports)",16.35827449
AZE,Chemicals (% of value added in manufacturing),3.199976168
AZE,"Food, beverages and tobacco (% of value added in manufacturing)",25.48191255
AZE,Machinery and transport equipment (% of value added in manufacturing),9.168639967
AZE,Other manufacturing (% of value added in manufacturing),60.79655397
AZE,Textiles and clothing (% of value added in manufacturing),1.352917344
BHS,Transport services (% of commercial service exports),4.564816408
BHS,Travel services (% of commercial service exports),86.44891461
BHS,Insurance and financial services (% of commercial service exports),0
BHS,"Computer, communications and other services (% of commercial service exports)",8.986268986
BHR,Transport services (% of commercial service exports),8.222663522
BHR,Travel services (% of commercial service exports),14.09333499
BHR,Insurance and financial services (% of commercial service exports),52.42025568
BHR,"Computer, communications and other services (% of commercial service exports)",25.26374581
BHR,Chemicals (% of value added in manufacturing),15.18814292
BHR,"Food, beverages and tobacco (% of value added in manufacturing)",12.48763376
BHR,Machinery and transport equipment (% of value added in manufacturing),5.351820172
BHR,Other manufacturing (% of value added in manufacturing),62.01085988
BHR,Textiles and clothing (% of value added in manufacturing),4.961543264
BGD,Transport services (% of commercial service exports),23.9055281
BGD,Travel services (% of commercial service exports),9.34935801
BGD,Insurance and financial services (% of commercial service exports),4.421320092
